100_0154_0001.JPG
FC6310R_8.8_5472x3648 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
0.0023385, 0.00207105, 0.318584, 0.0114426, -0.0098904, 0.00675451, 0.166418, -0.0047294, -0.0611276, -0.305182, -0.0747529, 1, -0.0161639, 0.440202
0.0300731, 0.317491, -0.00267194, 0.0017437, -0.00886541, 0.00908567, -0.00393908, 0.161315, 0.354425, -0.0612415, 0.170052, -0.0161639, 1, 0.0895021
-0.017515, 0.00214928, -0.00763016, 0.0053323, -0.00256908, 0.00127824, -0.00303719, 0.00579313, -0.0507311, 0.056495, -0.0091834, 0.440202, 0.0895021, 1
100_0154_0009.JPG
FC6310R_8.8_5472x3648 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
1, 0.0228164, -0.00901186, -0.463647, 0.265421, -0.21009, -0.0427123, -0.0942378, 0.0434697, -0.139003, 0.629364, -0.00407256, 0.0246213, -0.0178676
0.0228164, 1, 0.0252601, 0.0285077, -0.0331333, 0.0291711, 0.0145488, 0.384589, -0.128743, -0.02325, 0.0340873, 0.00963849, 0.317655, 0.0126398
-0.00901186, 0.0252601, 1, 0.00806758, -0.00802087, 0.00746299, 0.377704, 0.0155218, -0.0150885, 0.0193818, -0.0134243, 0.313317, 0.00575426, -0.00551344
-0.463647, 0.0285077, 0.00806758, 1, -0.950119, 0.888769, 0.00675657, 0.0940389, -0.0249558, 0.0364184, -0.205342, 0.00977474, 0.00839653, 0.00430186
0.265421, -0.0331333, -0.00802087, -0.950119, 1, -0.982934, 0.00041055, -0.0735699, 0.0210581, -0.00773939, 0.0764185, -0.0060899, -0.0148911, 2.32959e-05
-0.21009, 0.0291711, 0.00746299, 0.888769, -0.982934, 1, -0.00199222, 0.0635259, -0.0175347, 0.0030128, -0.0467979, 0.00340138, 0.0147676, -0.000958792
-0.0427123, 0.0145488, 0.377704, 0.00675657, 0.00041055, -0.00199222, 1, -0.00656228, 0.00761027, -0.0414833, -0.0339456, 0.162679, -0.00451145, -0.00413861
-0.0942378, 0.384589, 0.0155218, 0.0940389, -0.0735699, 0.0635259, -0.00656228, 1, 0.0195345, 0.0378014, -0.052265, 0.00311574, 0.162237, 0.013217
0.0434697, -0.128743, -0.0150885, -0.0249558, 0.0210581, -0.0175347, 0.00761027, 0.0195345, 1, 0.0267383, 0.0633973, -0.0526181, 0.344008, -0.0446134
-0.139003, -0.02325, 0.0193818, 0.0364184, -0.00773939, 0.0030128, -0.0414833, 0.0378014, 0.0267383, 1, -0.0941136, -0.28648, -0.0671509, 0.0571048
0.629364, 0.0340873, -0.0134243, -0.205342, 0.0764185, -0.0467979, -0.0339456, -0.052265, 0.0633973, -0.0941136, 1, -0.0208672, 0.168044, -0.00640622
-0.00407256, 0.00963849, 0.313317, 0.00977474, -0.0060899, 0.00340138, 0.162679, 0.00311574, -0.0526181, -0.28648, -0.0208672, 1, -0.0246636, 0.441849
0.0246213, 0.317655, 0.00575426, 0.00839653, -0.0148911, 0.0147676, -0.00451145, 0.162237, 0.344008, -0.0671509, 0.168044, -0.0246636, 1, 0.00707791
-0.0178676, 0.0126398, -0.00551344, 0.00430186, 2.32959e-05, -0.000958792, -0.00413861, 0.013217, -0.0446134, 0.0571048, -0.00640622, 0.441849, 0.00707791, 1
100_0154_0010.JPG
FC6310R_8.8_5472x3648 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
1, 0.0228164, -0.00901186, -0.463647, 0.265421, -0.21009, -0.0427123, -0.0942378, 0.0433595, -0.13802, 0.644428, -0.00803757, 0.0188121, -0.0163638
0.0228164, 1, 0.0252601, 0.0285077, -0.0331333, 0.0291711, 0.0145488, 0.384589, -0.128041, -0.022521, 0.0337674, 0.00981451, 0.322365, 0.0128605
-0.00901186, 0.0252601, 1, 0.00806758, -0.00802087, 0.00746299, 0.377704, 0.0155218, -0.0150528, 0.0200925, -0.00939326, 0.322968, 0.01253, -0.00358181
-0.463647, 0.0285077, 0.00806758, 1, -0.950119, 0.888769, 0.00675657, 0.0940389, -0.0248903, 0.036534, -0.211406, 0.00999228, 0.00990249, 0.00515538
0.265421, -0.0331333, -0.00802087, -0.950119, 1, -0.982934, 0.00041055, -0.0735699, 0.021189, -0.00799313, 0.0791709, -0.0060079, -0.0151997, -0.00163934
-0.21009, 0.0291711, 0.00746299, 0.888769, -0.982934, 1, -0.00199222, 0.0635259, -0.0179208, 0.00315853, -0.048464, 0.00398821, 0.0144631, 0.00186075
-0.0427123, 0.0145488, 0.377704, 0.00675657, 0.00041055, -0.00199222, 1, -0.00656228, 0.0062207, -0.0413578, -0.0328159, 0.168234, -0.00515663, -0.00429654
-0.0942378, 0.384589, 0.0155218, 0.0940389, -0.0735699, 0.0635259, -0.00656228, 1, 0.0209623, 0.0390717, -0.0498724, 0.00341758, 0.171183, 0.00785137
0.0433595, -0.128041, -0.0150528, -0.0248903, 0.021189, -0.0179208, 0.0062207, 0.0209623, 1, 0.0232622, 0.0589986, -0.0398364, 0.32884, -0.0395202
-0.13802, -0.022521, 0.0200925, 0.036534, -0.00799313, 0.00315853, -0.0413578, 0.0390717, 0.0232622, 1, -0.0972587, -0.291809, -0.0676169, 0.0482468
0.644428, 0.0337674, -0.00939326, -0.211406, 0.0791709, -0.048464, -0.0328159, -0.0498724, 0.0589986, -0.0972587, 1, 0.0365315, 0.144851, 0.00227981
-0.00803757, 0.00981451, 0.322968, 0.00999228, -0.0060079, 0.00398821, 0.168234, 0.00341758, -0.0398364, -0.291809, 0.0365315, 1, 0.0323299, 0.379358
0.0188121, 0.322365, 0.01253, 0.00990249, -0.0151997, 0.0144631, -0.00515663, 0.171183, 0.32884, -0.0676169, 0.144851, 0.0323299, 1, -0.00300206
-0.0163638, 0.0128605, -0.00358181, 0.00515538, -0.00163934, 0.00186075, -0.00429654, 0.00785137, -0.0395202, 0.0482468, 0.00227981, 0.379358, -0.00300206, 1
100_0154_0011.JPG
FC6310R_8.8_5472x3648 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
