x,y,z,sx,sy,sz
650506.07,432661.92,123.70,0.1108,0.0547,0.2185
650501.92,432641.86,125.06,0.1375,0.0683,0.2486
650620.90,432822.51,109.33,0.0166,0.0162,0.0482
650652.52,433061.57,125.05,0.0842,1.1730,0.7238
650687.30,433112.75,121.07,0.8682,4.3016,2.0241
650504.66,432642.43,124.22,0.0956,0.0509,0.1813
650540.41,432647.25,123.71,0.1193,0.0420,0.2396
650632.33,432816.97,109.28,0.0386,0.0294,0.0860
650567.45,432859.02,126.71,0.0369,0.0277,0.0954
650514.82,432646.72,124.15,0.2969,0.0677,0.3821
650645.63,432665.34,126.70,0.1816,0.0826,0.2443
650518.55,432663.36,123.69,0.4262,0.1822,0.5824
650612.00,432851.83,111.31,0.0295,0.0248,0.1024
650631.67,432262.64,130.23,0.3111,0.0978,0.4649
650583.67,432824.71,109.33,0.0341,0.0443,0.1459
650595.90,432443.70,123.55,0.1541,0.0637,0.1918
650606.13,432904.52,111.24,0.0200,0.0396,0.0677
650648.78,432907.88,109.35,0.0707,0.1394,0.2104
650584.16,432831.26,109.24,0.0229,0.0251,0.0987
650568.43,432890.78,128.35,0.2290,0.2350,0.4509
650568.78,432841.78,125.82,0.3512,0.1471,0.7225
650678.85,432791.66,111.18,0.2169,0.2020,0.5681
650578.51,432885.39,109.56,0.2388,0.1372,0.3551
650705.31,432866.32,122.24,0.2595,0.0786,0.3697
650595.20,432826.31,109.46,0.0245,0.0289,0.0889
650566.43,432807.85,127.98,0.0737,0.0607,0.1760
650580.79,432864.60,109.51,0.1761,0.1472,0.3613
650580.71,432837.13,110.72,0.1990,0.0828,0.4883
650708.33,432853.40,116.30,0.3169,0.1173,0.4795
650578.08,432832.08,109.63,0.0709,0.0544,0.3277
650715.43,432875.76,125.93,0.2207,0.0599,0.2628
650572.15,432671.16,109.92,0.0392,0.0373,0.0904
650698.49,432836.34,126.69,0.3696,0.2729,0.5915
650568.83,432878.60,124.46,0.0842,0.1160,0.2194
650659.38,432761.16,123.25,0.5280,0.7803,1.0191
650572.14,432878.86,122.02,0.2654,0.3210,0.5769
650564.02,432841.68,125.33,0.1638,0.0551,0.3831
650646.69,432895.62,109.97,0.1005,0.1448,0.2218
650545.26,432845.37,122.81,0.1842,0.0580,0.3122
650562.64,432887.39,129.03,0.0879,0.1460,0.2106
650553.61,432818.82,124.98,0.2301,0.0785,0.4540
650569.66,432886.90,128.14,0.2218,0.3781,0.5694
650676.10,432795.27,109.09,0.0755,0.0542,0.1510
650563.88,432829.50,128.38,0.3153,0.0623,0.6076
