imageName X Y Z Omega Phi Kappa
100_0162_0003.JPG 650563.889407 432801.439823 211.967005 0.692914 0.640432 176.253243
100_0162_0004.JPG 650561.154363 432776.778190 211.917061 0.684639 0.644315 174.324040
100_0162_0005.JPG 650558.307510 432752.470200 211.921383 0.593435 0.673125 173.370468
100_0162_0006.JPG 650555.402843 432727.973556 211.951994 0.534427 0.683037 173.401794
100_0162_0007.JPG 650552.526007 432703.381776 211.941250 0.456837 0.702248 172.733495
100_0162_0008.JPG 650549.740613 432679.081594 211.883533 0.413372 0.671958 173.145544
100_0162_0009.JPG 650546.961137 432654.756269 211.914896 0.425209 0.642032 171.628976
100_0162_0010.JPG 650544.028782 432630.079011 211.936260 0.394206 0.642043 171.779963
100_0162_0011.JPG 650541.232057 432605.692688 211.943331 0.384536 0.670885 171.727994
100_0162_0012.JPG 650538.442462 432581.203924 211.943473 0.402886 0.652518 170.595023
100_0162_0013.JPG 650535.517714 432556.631776 211.959605 0.416276 0.632043 170.698217
100_0162_0014.JPG 650532.600935 432532.360712 211.948726 0.436779 0.655745 170.840224
100_0162_0015.JPG 650529.835849 432507.962854 211.947428 0.435975 0.660401 170.032221
100_0162_0016.JPG 650526.985435 432483.222501 211.935700 0.439904 0.634159 169.296619
100_0162_0017.JPG 650524.083019 432458.849660 211.931834 0.464521 0.631021 169.434047
100_0162_0018.JPG 650521.101540 432434.279186 211.936375 0.472960 0.599503 169.803719
100_0162_0019.JPG 650518.368033 432409.858864 211.984166 0.447870 0.575468 169.709114
100_0162_0020.JPG 650515.501167 432385.241382 212.009382 0.494387 0.569347 169.299123
100_0162_0021.JPG 650512.611821 432360.976307 211.986056 0.538729 0.503265 168.837177
100_0162_0022.JPG 650509.786917 432336.436136 211.991652 0.532728 0.469697 168.749007
100_0162_0023.JPG 650506.909755 432312.294777 211.963810 0.557819 0.447901 168.728136
100_0162_0024.JPG 650504.034972 432287.770480 211.944996 0.539156 0.389459 168.582489
100_0162_0025.JPG 650501.240834 432263.196604 211.944457 0.584789 0.375200 169.182721
100_0162_0026.JPG 650498.449488 432238.699412 211.941152 0.607565 0.327246 168.228442
100_0162_0027.JPG 650495.711098 432214.002908 211.928334 0.599417 0.352750 168.146121
100_0162_0028.JPG 650492.769504 432189.899182 211.918505 0.580126 0.341579 168.982538
100_0162_0029.JPG 650489.946629 432165.214492 211.926686 0.590842 0.326753 168.356631
100_0162_0030.JPG 650487.088448 432140.891666 211.911624 0.623004 0.330456 168.579856
100_0162_0031.JPG 650484.285817 432116.499856 211.916901 0.636718 0.329371 168.432302
100_0162_0032.JPG 650481.398335 432091.713032 211.934441 0.696024 0.325869 168.140905
100_0162_0033.JPG 650478.527037 432067.377012 211.918542 0.709108 0.314389 167.962765
100_0162_0034.JPG 650475.779720 432042.931424 211.939456 0.734024 0.308683 167.767842
100_0162_0035.JPG 650472.954956 432018.244235 212.076253 0.779750 0.333353 167.837308
100_0162_0036.JPG 650470.025670 431993.577441 212.007422 0.818721 0.343621 167.746366
100_0162_0037.JPG 650467.033164 431969.537818 211.879465 0.877032 0.369851 168.174726
100_0162_0038.JPG 650464.183430 431944.889882 211.885426 0.928314 0.380126 169.048239
100_0162_0039.JPG 650461.255436 431920.535188 211.914862 0.957633 0.372053 168.532426
100_0162_0040.JPG 650458.518147 431896.039320 211.930906 0.997965 0.380522 168.824621
100_0162_0041.JPG 650455.680255 431871.476839 211.913702 1.069898 0.415390 168.199871
100_0162_0042.JPG 650452.705299 431847.101479 211.864101 1.076178 0.428803 169.213666
100_0162_0043.JPG 650449.939869 431822.824686 211.907156 1.108437 0.451165 169.163618
100_0162_0044.JPG 650447.048270 431798.494828 211.921909 1.144171 0.434134 169.121967
100_0162_0045.JPG 650444.196060 431774.177951 211.905287 1.185446 0.414094 169.375829
100_0162_0046.JPG 650441.216563 431749.824857 211.902244 1.109957 0.421811 169.944537
