imageName, cameraIndex, cameraName, X_opt, Y_opt, Z_opt, X_gps, Y_gps, Z_gps, X_acc, Y_acc, Z_acc, Omega, Phi, Kappa, X_uncertainty, Y_uncertainty, Z_uncertainty, Omega_uncertainty, Phi_uncertainty, Kappa_uncertainty, inlierProb
DJI_0210.JPG, 0, FC6310R_8.8_5472x3648 (RGB)(1), 650672.790683, 433211.996899, 209.047692, 650672.779788, 433212.007039, 209.025395, 0.017055, 0.017055, 0.029330, 45.125843, -1.082023, 0.013011, 0.008866, 0.008375, 0.016177, 0.010143, 0.014456, 0.009149, 0.999999
DJI_0211.JPG, 0, FC6310R_8.8_5472x3648 (RGB)(1), 650676.201103, 433256.084828, 209.032178, 650676.187407, 433256.092909, 209.009043, 0.017420, 0.017420, 0.029490, 45.133475, -0.271905, 0.833245, 0.009058, 0.008579, 0.016043, 0.011408, 0.014283, 0.010051, 0.999999
100_0212_0001.JPG, 0, FC6310R_8.8_5472x3648 (RGB)(1), 650839.309087, 435211.987502, 209.110419, 650839.297408, 435211.997418, 209.094252, 0.017670, 0.017670, 0.028650, 0.566389, 0.906109, -170.251962, 0.009118, 0.008800, 0.014648, 0.009150, 0.009290, 0.010964, 0.999999
100_0212_0002.JPG, 0, FC6310R_8.8_5472x3648 (RGB)(1), 650839.659097, 435203.988696, 209.081555, 650839.648476, 435203.999881, 209.049964, 0.017195, 0.017195, 0.027820, 0.490789, 0.995666, -175.315253, 0.008961, 0.008635, 0.014439, 0.008937, 0.009283, 0.010916, 0.999999
100_0212_0003.JPG, 0, FC6310R_8.8_5472x3648 (RGB)(1), 650838.552555, 435182.890649, 209.017722, 650838.539810, 435182.900264, 208.985163, 0.018120, 0.018120, 0.029120, 0.454339, 0.918662, -177.778333, 0.009272, 0.008948, 0.014582, 0.008900, 0.009509, 0.010882, 0.999999
100_0212_0004.JPG, 0, FC6310R_8.8_5472x3648 (RGB)(1), 650837.650327, 435158.913658, 208.998587, 650837.638239, 435158.923213, 208.976241, 0.017940, 0.017940, 0.028090, 0.414106, 0.858150, 179.215288, 0.009216, 0.008917, 0.014577, 0.009147, 0.009847, 0.011303, 0.999999
100_0212_0005.JPG, 0, FC6310R_8.8_5472x3648 (RGB)(1), 650835.732369, 435134.868933, 209.045795, 650835.718374, 435134.878540, 209.041325, 0.017815, 0.017815, 0.028790, 0.328514, 0.821393, 177.182750, 0.009180, 0.008866, 0.014868, 0.009427, 0.010197, 0.011305, 0.999999
100_0212_0006.JPG, 0, FC6310R_8.8_5472x3648 (RGB)(1), 650833.342817, 435111.222456, 209.020660, 650833.331945, 435111.234036, 208.999408, 0.017670, 0.017670, 0.028630, 0.302735, 0.809481, 175.358177, 0.009130, 0.008820, 0.014959, 0.009934, 0.010463, 0.012151, 0.999999
100_0212_0007.JPG, 0, FC6310R_8.8_5472x3648 (RGB)(1), 650831.032154, 435087.263879, 209.038545, 650831.020171, 435087.273429, 209.020469, 0.017685, 0.017685, 0.028600, 0.241111, 0.830321, 174.214544, 0.009139, 0.008826, 0.015094, 0.010465, 0.010724, 0.013455, 0.999999
100_0212_0008.JPG, 0, FC6310R_8.8_5472x3648 (RGB)(1), 650828.300991, 435063.318396, 209.052537, 650828.287891, 435063.328034, 209.026542, 0.017975, 0.017975, 0.028770, 0.178935, 0.859023, 172.592275, 0.009230, 0.008923, 0.015065, 0.010652, 0.010731, 0.013352, 0.999999
